"SN.","Title","Registration Number","Registration Date","Language","Periodicity","Publisher","Owner","Publication State","Publication District"
"501","AAJ SAMAJ","HARHIN/2022/83573","24-02-2023","Hindi","Daily","Rakesh Sharma","GOOD MORNING INDIA MEDIA PVT. LTD.","Haryana","Gurugram"
"502","AAJ SAMAJ","HARHIN/2022/83420","10-02-2023","Hindi","Daily","Rakesh Sharma","GOOD MORNING INDIA MEDIA PVT. LTD.","Haryana","Karnal"
"503","AAJ SAMAJ","HARHIN/2022/83431","10-02-2023","Hindi","Daily","Rakesh Sharma","GOOD MORNING INDIA MEDIA PVT. LTD.","Haryana","Jhajjar"
"504","AAJ SAMAJ","HARHIN/2022/83412","10-02-2023","Hindi","Daily","Rakesh Sharma","GOOD MORNING INDIA MEDIA PVT. LTD.","Haryana","Palwal"
"505","AAJ SAMAJ","HARHIN/2022/83418","10-02-2023","Hindi","Daily","Rakesh Sharma","GOOD MORNING INDIA MEDIA PVT. LTD.","Haryana","Mahendragarh"
"506","AAJ SAMAJ","HARHIN/2022/83417","10-02-2023","Hindi","Daily","Rakesh Sharma","GOOD MORNING INDIA MEDIA PVT. LTD.","Haryana","Panchkula"
"507","AAJ SAMAJ","HARHIN/2022/83424","10-02-2023","Hindi","Daily","Rakesh Sharma","GOOD MORNING INDIA MEDIA PVT. LTD.","Haryana","Jind"
"508","AAJ SAMAJ","HARHIN/2022/83432","10-02-2023","Hindi","Daily","Rakesh Sharma","GOOD MORNING INDIA MEDIA PVT. LTD.","Haryana","Sirsa"
"509","AAJ SAMAJ","HARHIN/2022/83416","10-02-2023","Hindi","Daily","Rakesh Sharma","GOOD MORNING INDIA MEDIA PVT. LTD.","Haryana","Kurukshetra"
"510","AAJ SAMAJ","HARHIN/2022/83409","10-02-2023","Hindi","Daily","Rakesh Sharma","GOOD MORNING INDIA MEDIA PVT. LTD.","Haryana","Yamunanagar"
"511","AAJ SAMAJ","HARHIN/2022/83426","10-02-2023","Hindi","Daily","Rakesh Sharma","GOOD MORNING INDIA MEDIA PVT. LTD.","Haryana","Charki Dadri"
"512","AAJ SE SHAM TAK","UPHIN/2006/22103","10-12-2007","Hindi","Daily","SHYAM PRAKASH CHAURASIYA","SHYAM PRAKASH CHAURASIYA","Uttar Pradesh","Lucknow"
"513","AAJ SHAAM","PUNHIN/2009/27345","30-03-2009","Hindi","Daily","SIMMI SURI","SIMMI SURI","Punjab","Jalandhar"
"514","AAJ SUBAH","DELHIN/2013/49507","07-05-2013","Hindi","Weekly","GULFAM","GULFAM","Delhi","New Delhi"
"515","AAJ TAK 24 SHAHAR KI NAZAR","MPHIN/2021/82688","10-11-2022","Hindi","Daily","CHANDRA SHEKHAR","CHANDRA SHEKHAR","Madhya Pradesh","Bhopal"
"516","AAJ TAK 24 SHAHAR KI NAZAR","MPHIN/2015/60715","11-03-2015","Hindi","Weekly","CHANDRA SHEKHAR","CHANDRA SHEKHAR","Madhya Pradesh","Dhar"
"517","AAJ TAK AAMNE SAAMNE","PUNHIN/2013/54688","21-02-2014","Hindi","Fortnightly","MANDEEP KAUR","MANDEEP KAUR","Punjab","Jalandhar"
"518","AAJ TAK EXPRESS","DELURD/2016/67517","17-06-2016","Urdu","Daily","URFI OBAID","URFI OBAID","Delhi","New Delhi"
"519","AAJ TAK FATEHABAD","HARHIN/2014/58436","26-11-2014","Hindi","Weekly","VIJAY KUMAR","VIJAY KUMAR","Haryana","Fatehabad"
"520","AAJ TAK GURGAON","HARHIN/2012/48353","01-03-2013","Hindi","Weekly","SATBIR BHARDWAJ","SATBIR BHARDWAJ","Haryana","Gurugram"
"521","AAJ TAK HARYANA","HARHIN/2011/38807","06-09-2011","Hindi","Monthly","ANJANI GOYAL","ANJANI GOYAL","Haryana","Sirsa"
"522","AAJ TAK TEHKIKAT","UPHIN/2014/58954","13-12-2014","Hindi","Fortnightly","MOHD SHADAB RIZVI","MOHD SHADAB RIZVI","Uttar Pradesh","Bijnor"
"523","AAJ TAK TRIVENI","HARHIN/2021/88208","26-07-2024","HINDI","Monthly","NARESH KUMAR","NARESH KUMAR","Haryana","Sirsa"
"524","AAJACHA JAN MAN","MAHMAR/2010/33705","22-09-2010","Marathi","Daily","SAVITA BALASAHEB BOTHEPATIL","SAVITA BALASAHEB BOTHEPATIL","Maharashtra","Pune"
"525","AAJACHA LOKPRASHNA","MAHMAR/2006/19615","04-05-2007","Marathi","Daily","MANE DEELIP RAMCHANDRA","MANE DEELIP RAMCHANDRA","Maharashtra","Parbhani"
"526","AAJACHA MAHARASHTRA TOP 10 NEWS","MAHMAR/2023/89424","08-10-2024","MARATHI","Weekly","PRASHANT GANPAT MORE","PRASHANT GANPAT MORE","Maharashtra","Raigad"
"527","AAJACHA MAWALA","MAHMAR/2023/87578","20-06-2024","MARATHI","Weekly","RAHUL BALASAHEB SONAWANE","RAHUL BALASAHEB SONAWANE","Maharashtra","Satara"
