"SN.","Title","Registration Number","Registration Date","Language","Periodicity","Publisher","Owner","Publication State","Publication District"
"22001","GRAMA RAKSHANE","KNKAN/26/A1153","17-02-2026","Kannada","Weekly","S V RAVI KUMAR","S V RAVI KUMAR","Karnataka","Kolar"
"22002","GRAMA SARPANCH","APTEL/2012/48024","13-02-2013","Telugu","Fortnightly","YALAMANCHILI VENKATA BABU RAJENDRA PRASAD","YALAMANCHILI VENKATA BABU RAJENDRA PRASAD","Andhra Pradesh","N T R"
"22003","GRAMA SEEMA","TELTEL/2008/26784","14-01-2009","Telugu","Fortnightly","DUSA EKNATH","DUSA EKNATH","Telangana","Karimnagar"
"22004","GRAMA SEVIKA TEACHERS AND SUPERVISORS PENSION KURAL","TNTAM/2015/66309","04-03-2016","Tamil","Quarterly","R. SANKAR BABU","R.SANKAR BABU","Tamil Nadu","Madurai"
"22005","GRAMA SWARAJYA","KNKAN/26/A2582","15-04-2026","Kannada","Monthly","Venkatrao Y Ghorpade","Karnataka Panchayat Raj Parishath","Karnataka","Bengaluru"
"22006","GramaBharat","KNKAN/25/A1149","06-06-2025","Kannada","Daily","Arun Krishnappa Badiger","Arun Krishnappa Badiger","Karnataka","Dharwad"
"22007","GRAMABHAVITA","APTEL/2011/38249","14-07-2011","Telugu","Daily","MOHD RAUOOF","MOHD RAUOOF","Andhra Pradesh","Hyderabad"
"22008","GRAMABHIYAN","MAHMAR/2015/71594","08-05-2017","Marathi","Weekly","DIPAK TATYARAO MANE","DIPAK TATYARAO MANE","Maharashtra","Satara"
"22009","GRAMABHOOMI","36116","20-03-2013","Malayalam","Bimonthly (Once in two months)","AJITHA DAS","COMMISSIONER FOR RURAL DEVELOPMENT GOVT OF KERALA","Kerala","Thiruvananthapuram"
"22010","GRAMANCHAL","54360","25-02-1992","Hindi","Weekly","CHANDRAPRAKASH DHAUNDIYAL","CHANDRAPRAKASH DHAUNDIYAL","Uttarakhand","Dehradun"
"22011","GRAMANCHAL BHARAT","UPHIN/2002/09573","06-11-2012","Hindi","Bimonthly (Once in two months)","RAMLAKHAN YADAV","RAMLAKHAN YADAV","Uttar Pradesh","Lucknow"
"22012","GRAMANCHAL SHILPANCHALER KHABAR","53245","08-12-1994","Bengali","Weekly","NARAYAN CHANDRA CHATTERJEE","NARAYAN CHANDRA CHATTERJEE","West Bengal","Purba Bardhaman"
"22013","GRAMASOUDHA VARTHE","KNKAN/26/A5124","15-06-2026","Kannada","Weekly","Ramakrishna M C Ramki","Ramakrishna M C Ramki","Karnataka","Chitradurga"
"22014","GRAMASTHA","MAHMAR/2006/19267","20-04-2007","Marathi","Fortnightly","JAYWANT HANUMANT DAMGUDE","JAYWANT HANUMANT DAMGUDE","Maharashtra","Mumbai"
"22015","GRAMASTHA AWAZ","MAHMAR/2017/71349","25-04-2017","Marathi","Fortnightly","GANESH DAGA PATIL","GANESH DAGA PATIL","Maharashtra","Dhule"
"22016","GRAMBOLI","MAHMAR/2020/78648","06-05-2020","Marathi","Weekly","NAGSEN ANANDRAO BHERJE","NAGSEN ANANDRAO BHERJE","Maharashtra","Parbhani"
"22017","GRAMCITY RAYGAD","MHMAR/25/A3322","16-10-2025","Marathi","Weekly","Annasaheb Eknath Aher","Annasaheb Eknath Aher","Maharashtra","Raigad"
"22018","GRAMDEEP VRUTT","MHMAR/26/A3589","13-05-2026","Marathi","Monthly","Sachin Tukaram Vitkar","Sachin Tukaram Vitkar","Maharashtra","Pune"
"22019","GRAMEEN ATHAWADA","MAHMAR/2007/18835","23-03-2007","Marathi","Weekly","SHASHIKANT DATTATRAY JOSHI","SHASHIKANT DATTATRAY  JOSHI","Maharashtra","Thane"
"22020","GRAMEEN BHASKAR","MPHIN/2013/49202","15-04-2013","Hindi","Daily","DHEERAJ BANSAL","DHEERAJ BANSAL","Madhya Pradesh","Gwalior"
"22021","GRAMEEN BHASKAR","MPHIN/2007/23213","12-03-2008","Hindi","Monthly","DHEERAJ BANSAL","DHEERAJ BANSAL","Madhya Pradesh","Gwalior"
"22022","GRAMEEN DASTAK","UPHIN/2022/84079","02-05-2023","Hindi","Daily","ASHISH KUMAR MISHRA","ASHISH KUMAR MISHRA","Uttar Pradesh","Lucknow"
"22023","GRAMEEN DESHA","MAHMAR/2013/50801","11-07-2013","Marathi","Daily","DIPTI DILIP GHOLAP","DIPTI DILIP GHOLAP","Maharashtra","Thane"
"22024","GRAMEEN HEERAN","PUNHIN/2020/80165","10-09-2021","Hindi","Weekly","PARDEEP KUMAR","PARDEEP                        KUMAR","Punjab","Ludhiana"
"22025","GRAMEEN HEERAN","UPHIN/26/A1873","23-03-2026","Hindi","Weekly","pardeep Kumar Pandy","pardeep Kumar Pandy","Uttar Pradesh","Gorakhpur"
"22026","GRAMEEN HULCHAL","MPHIN/2009/29862","12-10-2011","Hindi","Fortnightly","NARENDRA KUSHWAHA","NARENDRA KUSHWAHA","Madhya Pradesh","Ujjain"
"22027","GRAMEEN JAGARAN","UPHIN/2009/29638","20-11-2009","Hindi","Daily","KULDEEP TRIPATHI","KULDEEP TRIPATHI","Uttar Pradesh","Hardoi"
"22028","GRAMEEN JAGARAN","UPHIN/2010/31913","09-04-2010","Hindi","Weekly","KULDEEP TRIPATHI","KULDEEP TRIPATHI","Uttar Pradesh","Hardoi"
"22029","GRAMEEN JANTA","25050","01-07-2010","Hindi","Weekly","DR. N.R. GOEL","DR. N.R.GOEL","Uttarakhand","Haridwar"
"22030","GRAMEEN KA HAK","MPHIN/2018/76526","07-12-2018","Hindi","Quarterly","REKHA KAIM","REKHA KAIM","Madhya Pradesh","Gwalior"
"22031","GRAMEEN OJHA","RAJHIN/2008/23878","08-05-2008","Hindi","Fortnightly","ANIL TRIVEDI","ANIL TRIVEDI","Rajasthan","Karauli"
"22032","GRAMEEN SAHARA","MPHIN/2007/19912","07-06-2007","HINDI","Daily","SAROJ PANDEY","U.P.GRAMIN PATARKAR PARISHAD","Madhya Pradesh","Gwalior"
"22033","GRAMEEN SALAM INDIA","UAHIN/26/A6297","30-07-2026","Hindi","Weekly","MOHD SAHJAN","MOHD SAHJAN","Uttarakhand","Haridwar"
"22034","GRAMEEN SAMACHAR LEADER","67812","03-09-1998","Hindi","Weekly","RAM BABU SONI","RAMBABU SONI,1515,","Rajasthan","Jaipur"
"22035","GRAMEEN SANDESH","MPHIN/2011/41930","30-01-2014","Hindi","Monthly","MOHSIN KHAN","MOHSIN KHAN","Madhya Pradesh","Umaria"
"22036","GRAMEEN SANGRAM","UPHIN/2016/73926","21-11-2017","Hindi","Weekly","DILEEP KUMAR","DILEEP KUMAR","Uttar Pradesh","Pilibhit"
"22037","GRAMEEN SANSAR","CHHHIN/2008/26865","27-01-2009","Hindi","Monthly","SMT. PREETI PARE","PREETI PARE","Chhattisgarh","Raipur"
"22038","GRAMEEN WORLD","DELBIL/2013/49657","14-05-2013","English, HINDI","Weekly","SANGEETA SHARMA","SANGEETA SHARMA","Delhi","New Delhi"
"22039","GRAMEENA AADARANA","APTEL/2013/48228","22-02-2013","Telugu","Monthly","P. SREENIVASULU","P. SREENIVASULU","Andhra Pradesh","Chittoor"
"22040","Grameena Dhwani","KNKAN/26/A2706","17-04-2026","Kannada","Daily","Revanasidda Bagali","Revanasidda Bagali","Karnataka","Bengaluru Rural"
"22041","GRAMEENA GRANTHALAYA","KARBIL/2023/89370","08-10-2024","BILINGUAL","Quarterly","P.V. KONNUR","LIS ACADEMY","Karnataka","Bengaluru"
